family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
Lepiota Family;Stinking Parasol;p;[2, 5];[b, f];[y];[e, n, p, w];[f];[e];[c];[n, w];[3, 6];[3, 4];;[k];[w];;;[t];[e];;[m, d];[u, a]
Tricholoma Family;Saffron Parasol;p;[2, 5];[x];[y];[y, n];[f];[a];;[w];[4, 7];[3, 4];;[y];[y, n];;;[t];[r];;[g, h, d];[u, a]
Tricholoma Family;The Deceiver;e;[1, 4];[f, s];[y];[n];[f];[a, d];[d];[p];[3, 10];[2, 5];;[i];[n];;;[f];[f];;[l, h];[u, a]
Tricholoma Family;Amethyst Deceiver;e;[1, 4];[x];;[b, u];[f];;[d];[u, w];[4, 8];[3, 6];;;[w];;;[f];[f];;[d];[u, a, w]
Tricholoma Family;Club-footed Funnel Cap;p;[4, 8];[x, f];;[g, n];[f];[d];[c];[w, y];[4, 7];[10];[b];;[n];;;[f];[f];;[l, d];[a, w]
Tricholoma Family;Common Funnel Cap;e;[4, 8];[s];;[n];[f];[d];[c];[w];[3, 7];[6, 10];;[s];[w];;;[f];[f];;[l, d, h];[u, a]
Tricholoma Family;Aniseed Funnel Cap;e;[3, 6];[x];;[l, r, w];[f];[a, d];;[r];[4, 8];[5, 10];;;[l, r, w];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Ivory Clitocybe;p;[2, 4];[x, f, s];[s];[w, g];[f];[d];[c];[w];[2, 4];[5, 10];;;[w];;;[f];[f];;[g];[u, a]
Tricholoma Family;Wood Woolly-foot;p;[3, 6];[f];[l];[n, e, y];[f];[x];[d];[n, e, y];[4, 8];[4, 6];;;[n, y];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Russet Tough Shank;p;[2, 5];[f];[d];[n, b];[f];[x];[c];[w, y];[3, 6];[2, 4];[b];[i, s];[n];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Clustered Tough Shank;p;[2, 5];[x, f];;[n, w];[f];[x];[c];[p];[6, 10];[3, 5];;;[n, p];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Greasy Tough Shank;e;[4, 8];[x, f];[s];[n, b];[f];[x];[c];[w];[5, 9];[10];;[s];[n];;;[f];[f];;[l];[a, w]
Tricholoma Family;Fairy Ring Champignon;e;[2, 5];[b];[g];[n ,w];[f];[x];[d];[w];[3, 6];[2, 4];;;[y];;;[f];[f];;[g];[u, a]
Tricholoma Family;Little Wheel Fungus;p;[0.7, 1.3];[x];[g];[w];[f];[a];[d];[w];[2, 4];[1, 2];;;[n, e];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Horse-hair Fungus;p;[0.5, 1];[x];[g];[n, p, e];[f];[a];;[n, p];[3, 5];[1];;[s, h];[k];;;[f];[f];;[d];[s, u, a, w]
Tricholoma Family;Bonnet Bell Cap;e;[2, 6];[b, f];[g];[n, g];[f];[a];[d];[g];[3, 8];[2, 5];;[s];[n, g];;;[f];[f];;[d];[s, u, a, w]
Tricholoma Family;Stump Bell Cap;p;[1, 3];[b];;[g, n];[f];[a];;[g];[4, 6];[2];;[s];[g, n];;;[f];[f];;[d];[u, a]
Tricholoma Family;Tufted Bell Cap;p;[2, 3];[x];[g];[e, n];[f];[a];;[w, p];[4, 10];[2, 3];;;[n, w];;;[f];[f];;[d];[u, a]
Tricholoma Family;Milky Bell Cap;e;[1, 2];[c];[g];[n];[f];[a];;[g, w];[4, 6];[1, 2];;;[g];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Small Bleeding Bell Cap;e;[0.5, 1.5];[c, x, f];[g];[n, e];[t];[a];;[p, w];[4, 7];[1];;;[n];;;[f];[f];;[d, h];[u, a]
Tricholoma Family;Lilac Bell Cap;p;[2, 5];[b, f, s];[w];[u];[f];[a];[c];[g, u];[3, 8];[3, 8];;[s];[u];;;[f];[f];;[l, d];[u, a]
Tricholoma Family;Yellow-stemmed Bell Cap;e;[1, 2];[x];[g, s, t];[n, y];[f];[a, d];;[w];[4, 8];[1, 3];;[t];[y];;;[f];[f];;[g, d, h];[u, a]
Tricholoma Family;Umbrella Navel Cap;p;[1, 2];[x];[g];[n, y];[f];[d];[d];[n];[1, 3];[2, 3];;[s];[n];;;[f];[f];;[d, h];[u, a]
Tricholoma Family;Rooting Shank;p;[4, 10];[x, f];[h, t, w];[n, e];[f];[x];;[w];[8, 20];[5, 10];[r];[g];[n];;;[f];[f];;[d];[u, a]
Tricholoma Family;Porcelain Mushroom;e;[4, 8];[x];[h, t];[g, n];[f];[a];[d];[n];[4, 8];[3, 7];;[t];[g, w];;;[t];[l];;[d];[u, a, w]
Tricholoma Family;Velvet Shank;e;[2, 7];[x, f];[h, t];[o, n];[f];[a];[d];[w, y];[3, 10];[3, 8];;[k, s];[o, n];;;[f];[f];;[d];[s, a, w]
Tricholoma Family;Grey Tricholoma;e;[4, 8];[b, f];[h];[g, k];[f];[s];[d];[g, w];[3, 7];[10];;[s];[g];;;[f];[f];;[d];[u, a]
Tricholoma Family;Scaly Tricholoma;e;[3, 7];[x, f];[y];[g, n];[f];[s];;[g, w, y];[3, 6];[5, 10];;;[w];;;[f];[f];;[d];[u, a]
Tricholoma Family;Changeable Melanoleuca;e;[4, 10];[f];[s];[n];[f];[s];[c];[w];[4, 8];[10];[b];[i];[n, w];;;[f];[f];;[g, l, m, d];[u, a]
Wax Gill Family;Ivory Wax Cap;e;[2, 5];[x, f];[s];[w];[f];[d];[d];[w];[2, 5];[4, 8];;;[w];;;[f];[f];;[g, m];[a, w]
Wax Gill Family;Yellow Wax cap;p;[3, 6];[x];[h, s, t];[o, y];[f];[a];[c];[y];[5, 7];[5, 10];;[g];[o];;;[f];[f];;[g];[u, a]
Wax Gill Family;Orange-red Wax Cap;p;[1, 4];[x, f];[s, y];[o];[f];[a, d];;[o, y];[2, 4];[4, 7];;;[o, y];;;[f];[f];;[m, h];[a]
Wax Gill Family;Blackening Wax Cap;p;[4, 7];[b, x];[s, i];[e, o, k];[f];[e];;[y, g, k];[4, 10];[5, 10];;;[y, o, k];;;[f];[f];;[g, m];[u, a]
Wax Gill Family;Scarlet Hood;e;[2, 5];[x];[h, s, d];[o, p, e];[f];[a];[c];[o, e];[3, 6];[5, 8];;;[o, e];;;[f];[f];;[g, m];[u, a, w]
Wax Gill Family;Parrot Wax Cap;p;[2, 4];[b, f];[t, w, d];[r, p, y];[f];[a];;[r, y];[4, 6];[4, 8];;[t];[r, y];;;[f];[f];;[g, m, d];[u, a]
Wax Gill Family;Herald of Winter;e;[3, 5];[x, f];[t];[n];[f];[d];;[o];[5, 7];[5, 10];;[t];[w, o];;;[f];[f];;[d];[a, w]
Russula Family;Fragile Russula;p;[2, 6];[f, s];;[u];[f];[a];;[w];[3, 6];[5, 10];;;[w, y];;;[f];[f];;[d];[u, a]
Russula Family;Birch Russula;p;[2, 6];[x, f];;[b, p, e, y];[f];[x];;[w];[3, 7];[5, 8];;;[w];;;[f];[f];;[d];[u, a]
Russula Family;Sweet Milk Cap;p;[3, 8];[s];;[e, n];[t];[d];[c];[b, p, w];[4, 8];[4, 8];;;[e, n];;;[f];[f];;[d];[u, a]
Russula Family;Small Brown Milk Cap;p;[2, 4];[f, s];[w];[n, o];[t];[d];[c];[n, y];[2, 5];[4, 8];;;[n];;;[f];[f];;[d];[u, a]
Russula Family;Coconut-scented Milk Cap;e;[2, 5];[f, s];[d];[g, u, n, p];[t];[d];[c];[p];[3, 6];[4, 8];;;[g, n];;;[f];[f];;[d];[u, a]
Entoloma Family;Silky Nolanea;p;[2, 5];[x, f];[k];[n, w];[f];[s];;[p];[3, 5];[2, 4];;;[n];;;[f];[f];[p];[g];[u, a]
Entoloma Family;Striated Nolanea;p;[3, 5];[b, f];[t];[n];[f];[x];[c];[p];[4, 8];[3, 6];;[i];[n, g];;;[f];[f];;[g, m, d];[u, a]
Entoloma Family;White Leptonia;p;[2, 4];[x, s];[d];[w];[f];[a, d];[d];[p, w];[2, 5];[2, 3];;[h];[w];;;[f];[f];;[g];[u, a]
Entoloma Family;Blue Leptonia;p;[1, 3];[x, f];[i];[l, k];[f];[a];;[p, w];[2, 6];[2, 3];;;[w];;;[f];[f];[p];[g];[u, a]
Bolbitius Family;Egg Yolk Fungus;p;[1, 3];[c, f];[h, t];[y, n];[f];;;[y, n];[5, 10];[2, 4];;;[y];;;[f];[f];;[g];[u, a]
Bolbitius Family;Brown Bell Cap;p;[1, 3];[b];[g];[n, o, y, w];[f];;[c];[n];[4, 8];[2, 4];;;[n];;;[f];[f];;[g, m, d];[s, u, a]
Stropharia Family;Charcoal Pholiota;p;[2, 6];[x];[h, t];[n, o];[f];[a];[c];[n];[3, 6];[4, 8];;[y];[n, o];;;[t];[z];;[d];[a, w]
Stropharia Family;Brown Stew Fungus;e;[3, 8];[x];[h];[n];[f];[x];[c];[w, n];[3, 8];[4, 8];;[y, s];[n];;;[t];[r];;[d];[s, u, a, w]
Stropharia Family;Sulphur Tuft;p;[2, 6];[b, x];[s];[y];[f];;[c];[y, r, k];[5, 12];[5, 10];;;[y];[u];[w];[t];[z];[k, r];[d];[s, u, a, w]
Stropharia Family;Verdigris Toadstool;p;[2, 6];[b, x];[h, t, y];[r, l];[f];[s];[c];[g, n, u];[4, 8];[5, 10];;[y];[w, l, n];;;[t];[e];[k, u];[g, m, d];[u, a]
Stropharia Family;Dung Roundhead;p;[1, 3];[p];[t];[n];[f];[a];[c];[g, n];[4, 10];[2, 3];;[t];[y];;;[t];[e];;[m];[s, u, a]
Stropharia Family;Magic Mushroom;p;[0.5, 1.5];[b];[t];[n, y];[f];;[c];[g, k];[2, 5];[2, 3];;;[n];;;[t];[f];;[g, m];[u, a]
Cortinarius Family;Blood-red Cortinarius;p;[2, 5];[x];[i];[e];[f];;;[e];[3, 6];[3, 8];;;[e];;;[f];[f];[n];[d];[a]
Cortinarius Family;Straw-coloured Inocybe;p;[3, 7];[c];[i];[y];[f];;[c];[n, r];[5, 8];[5, 10];;;[w];;;[f];[f];;[d];[u, a]
Cortinarius Family;Common White Inocybe;p;[1, 4];[c, f];;[w, u];[f];[a];[c];[w, n];[2, 5];[3, 4];;[i];[w, u];;;[f];[f];;[p, d];[u, a]
Cortinarius Family;Poison Pie;p;[4, 10];[x];[s, t];[n];[f];[s];;[g, n];[4, 7];[5, 10];;[y];[n];;;[f];[f];;[d];[a, w]
Cortinarius Family;Rusty Wood Rotter;p;[4, 8];[b, x, f];[d, k];[n];[f];[a, d];[c];[y, n];[4, 7];[5, 8];;[i];[y, n];;;[t];;;[d];[u, a]
Cortinarius Family;Moss Pixy Cap;p;[1, 2];[b];[h];[n];[f];[a];;[n];[3, 6];[1, 2];;[t];[n];;;[f];[f];;[g, h, d];[s, u, a]
Ink Cap Family;Rusty Carpet Ink Cap;p;[2, 5];[b];[y];[n];[f];;[c];[w, g, u];[4, 8];[4, 5];[s];[s];[w];;;[f];[f];;[d];[u, a]
Ink Cap Family;Glistening Ink Cap;e;[2, 4];[b];[y];[n];[f];;[c];[k, n];[5, 8];[2, 4];;;[w];;;[f];[f];;[d];[s, u, a, w]
Ink Cap Family;Fairies' Bonnets;e;[0.5, 1.5];[p, b];[g];[w, g];[f];;;[g];[2, 4];[1, 2];;;[w];;;[f];[f];;[d];[s, u, a, w]
Ink Cap Family;Fairy Parasol;e;[1, 2];[x, f];[w];[n, g];[f];;[d];[g, k];[4, 6];[2, 3];;;[w];;;[f];[f];;[g, d];[s, u, a, w]
Ink Cap Family;Common Crumble Cap;e;[3, 6];[x, f];;[n, y, w];[f];[x];[c];[w, u, g, n];[5, 8];[3, 5];;;[w];;;[f];[f];;[d];[u, a]
Ink Cap Family;Two-toned Crumble Cap;e;[2, 5];[x, f];[h];[n];[f];;[c];[k, n];[4, 8];[5, 8];;[s];[w];;[w];[f];[f];[k];[d];[u, a]
Ink Cap Family;Hay Cap;p;[1, 2];[x];;[n];[f];;;[k, n];[4, 6];[2, 3];;[s];[n];;;[f];[f];[k];[g];[u, a]
Ink Cap Family;Petticoat Fungus;p;[2, 4];[b];;[g, n, k];[f];[a];;[k, n];[6, 12];[2, 3];;;[g, n];;[w];[f];[f];[k];[g];[u, a]
Ink Cap Family;Egg-shell Toadstool;p;[2, 6];[b];[t, h];[n];[f];;;[k, n];[5, 15];[4, 8];;;[w];;;[t];;[k];[g];[u, a, w]
Ink Cap Family;Weeping Widow;p;[5, 10];[x];[i];[n, y];[f];[a];[c];[k, n];[6, 10];[6, 10];;[i];[n];;[k];[t];[z];[k];[g, d];[u, a]
Paxillus Family;False Chanterelle;p;[3, 8];[s];[d];[o, y];[f];[d];[c];[o, y];[2, 5];[5, 8];;;[o, y];;;[f];[f];;[h, d];[u, a]
Chanterelle Family;Tubed Chanterelle;e;[2, 5];[s];;[n, y];[f];[f];[f];[f];[5, 8];[5, 10];;;[o, y];;;[f];[f];;[d];[a]
Ear-Pick Family;Ear-pick Fungus;p;[1, 2];[x, o];[k];[n];[f];;;[n];[2, 6];[1, 2];;;[n];;;[f];[f];;[d];[s, u, a, w]
Bracket Fungi;Brown Goblet;p;[3, 7];[f, s];[k];[n, y];[f];[p];;[n];[2, 5];[3, 8];;[k];[n];;;[t];[f];;[d];[u]
Jelly Discs Family;Jelly Babies;p;[1, 1.5];[x, f, s];[s];[y];[f];[f];[f];[f];[2, 5];[4, 7];;;[y];;;[f];[f];;[d];[u, a]
